EXPERIMENT 1: Random Sampling (Baseline) — Patch Statistics
Metric,Rep1,Rep2,Rep3,Mean,StdDev
CompilingPatches(%),16.0,24.0,25.0,21.67,4.93
PassingPatches(%),5.0,13.0,10.0,9.33,4.04
ImprovingPatches(%),2.0,6.0,3.0,3.67,2.08

EXPERIMENT 1: Random Sampling — Best Patch Found Per Method
Method,Baseline_R1(ms),Best_R1(ms),Reduction_R1(ms),Impr_R1(%),Baseline_R2(ms),Best_R2(ms),Reduction_R2(ms),Impr_R2(%),Baseline_R3(ms),Best_R3(ms),Reduction_R3(ms),Impr_R3(%),MeanReduction(ms),MeanImprovement(%)
filterBs,2777.0,2759.0,18.0,0.65,2759.0,2755.0,4.0,0.14,2777.0,2746.0,31.0,1.12,17.67,0.64
estimateQPix,1125.0,1125.0,0.0,0.0,1138.0,1138.0,0.0,0.0,1140.0,1140.0,0.0,0.0,0.0,0.0
takeSafe,1438.0,1438.0,0.0,0.0,1455.0,1455.0,0.0,0.0,1461.0,1461.0,0.0,0.0,0.0,0.0
getLumaPred4x4,1431.0,1431.0,0.0,0.0,1451.0,1451.0,0.0,0.0,1466.0,1466.0,0.0,0.0,0.0,0.0
filterBlockEdgeHoris,2737.0,2737.0,0.0,0.0,2749.0,2749.0,0.0,0.0,2766.0,2766.0,0.0,0.0,0.0,0.0
filterBlockEdgeVert,2734.0,2734.0,0.0,0.0,2740.0,2737.0,3.0,0.11,2747.0,2741.0,6.0,0.22,3.0,0.11
filterBs4,2742.0,2742.0,0.0,0.0,2770.0,2770.0,0.0,0.0,2754.0,2754.0,0.0,0.0,0.0,0.0
mergeResidual,2693.0,2693.0,0.0,0.0,2729.0,2702.0,27.0,0.99,2693.0,2693.0,0.0,0.0,9.0,0.33
resample,159.0,159.0,0.0,0.0,161.0,155.0,6.0,3.73,158.0,158.0,0.0,0.0,2.0,1.24
getPlaneWidth,1123.0,1123.0,0.0,0.0,1195.0,1195.0,0.0,0.0,1156.0,1150.0,6.0,0.52,2.0,0.17
TOTAL,18959.0,18941.0,18.0,0.09,19147.0,19107.0,40.0,0.21,19118.0,19075.0,43.0,0.22,33.67,0.18

EXPERIMENT 2: UCB Local Search (Traditional Operators)
Method,Baseline_R1(ms),Best_R1(ms),Reduction_R1(ms),Impr_R1(%),Baseline_R2(ms),Best_R2(ms),Reduction_R2(ms),Impr_R2(%),Baseline_R3(ms),Best_R3(ms),Reduction_R3(ms),Impr_R3(%),MeanReduction(ms),MeanImprovement(%)
filterBs,2752.0,2752.0,0.0,0.0,3066.0,2738.0,328.0,10.7,2793.0,2750.0,43.0,1.54,123.67,4.08
estimateQPix,1154.0,1127.0,27.0,2.34,1163.0,1141.0,22.0,1.89,1158.0,1139.0,19.0,1.64,22.67,1.96
takeSafe,1465.0,1445.0,20.0,1.37,1575.0,1455.0,120.0,7.62,1495.0,1446.0,49.0,3.28,63.0,4.09
getLumaPred4x4,1459.0,1430.0,29.0,1.99,1457.0,1448.0,9.0,0.62,1500.0,1454.0,46.0,3.07,28.0,1.89
filterBlockEdgeHoris,2751.0,2740.0,11.0,0.4,2767.0,2743.0,24.0,0.87,2774.0,2730.0,44.0,1.59,26.33,0.95
filterBlockEdgeVert,2740.0,2732.0,8.0,0.29,2761.0,2742.0,19.0,0.69,2756.0,2746.0,10.0,0.36,12.33,0.45
filterBs4,2781.0,2742.0,39.0,1.4,2780.0,2735.0,45.0,1.62,2760.0,2760.0,0.0,0.0,28.0,1.01
mergeResidual,2692.0,2674.0,18.0,0.67,2739.0,2685.0,54.0,1.97,2695.0,2684.0,11.0,0.41,27.67,1.02
resample,162.0,146.0,16.0,9.88,163.0,147.0,16.0,9.82,155.0,152.0,3.0,1.94,11.67,7.21
getPlaneWidth,1134.0,1131.0,3.0,0.26,1122.0,1116.0,6.0,0.53,1180.0,1123.0,57.0,4.83,22.0,1.87
TOTAL,19090.0,18919.0,171.0,0.9,19593.0,18950.0,643.0,3.28,19266.0,18984.0,282.0,1.46,365.33,1.88

HEAD-TO-HEAD: Best Found Per Method (averaged over 3 reps)
Method,Exp1_MeanReduction(ms),Exp1_MeanImprovement(%),Exp2_MeanReduction(ms),Exp2_MeanImprovement(%)
filterBs,17.67,0.64,123.67,4.08
estimateQPix,0.0,0.0,22.67,1.96
takeSafe,0.0,0.0,63.0,4.09
getLumaPred4x4,0.0,0.0,28.0,1.89
filterBlockEdgeHoris,0.0,0.0,26.33,0.95
filterBlockEdgeVert,3.0,0.11,12.33,0.45
filterBs4,0.0,0.0,28.0,1.01
mergeResidual,9.0,0.33,27.67,1.02
resample,2.0,1.24,11.67,7.21
getPlaneWidth,2.0,0.17,22.0,1.87
TOTAL,33.67,0.18,365.33,1.88
