operator,category,is_llm,selection_count,success_count,success_rate,improvement_count,improvement_rate,total_reward,avg_reward,learned_q
DeleteStatement,statement,false,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000
CopyStatement,statement,false,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000
ReplaceStatement,statement,false,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000
SwapStatement,statement,false,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000
MoveStatement,statement,false,2,2,1.000000,2,1.000000,2.011950,1.005975,1.005975
MatchedDeleteStatement,matched,false,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000
MatchedCopyStatement,matched,false,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000
MatchedReplaceStatement,matched,false,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000
MatchedSwapStatement,matched,false,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000
BinaryOperatorReplacement,modifynode,false,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000
UnaryOperatorReplacement,modifynode,false,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000
